연번,년도,학기,학년,분반,개설학부,교과목코드,교과구분,학점부여,교과목명,학점,담당교원,요일/시간
229,2015,1,1,6,인문예술학부,HA1201,인문계열교과필수,일반,한국사의이해1,2,강재순,월6|화1
230,2015,1,1,7,인문예술학부,HA1201,인문계열교과필수,일반,한국사의이해1,2,우정임,월1|목4
231,2015,1,1,8,인문예술학부,HA1201,인문계열교과필수,일반,한국사의이해1,2,강재순,목2|금7
232,2015,1,1,1,인문예술학부,HA1104,인문계열교과필수,일반,한국어Ⅰ,4,노초롱,월8|월9|화4|목7
233,2015,1,2,1,인문예술학부,HA1106,인문계열교과필수,일반,한국어Ⅲ,4,원윤희,월8|월9|수9|수10
234,2015,1,3,1,물리지구과학부,PE4101,자연계열교과선택,일반,현대물리학개론,3,이종림,월1|화8|목4
235,2015,1,3,1,인문예술학부,HA211,인문계열교과선택,일반,화법,3,김동화,월10|수4|금3
236,2015,1,3,2,인문예술학부,HA211,인문계열교과선택,일반,화법,3,이춘근,월7|화1|금6
237,2015,1,3,3,인문예술학부,HA211,인문계열교과선택,일반,화법,3,이춘근,화3|수8|목2
238,2015,1,3,4,인문예술학부,HA211,인문계열교과선택,일반,화법,3,이춘근,월1|화8|목4
239,2015,1,3,5,인문예술학부,HA211,인문계열교과선택,일반,화법,3,이춘근,월6|화2|금2
240,2015,1,3,6,인문예술학부,HA211,인문계열교과선택,일반,화법,3,김진실,월1|화8|목4
241,2015,1,3,1,화학생물학부,CB4101,자연계열교과선택,일반,화학과에너지,3,조철희,월7|화1|금6
242,2015,1,1,1,화학생물학부,CB1101,자연계열교과필수,일반,화학및실험1,3,최은영,월2|월3|수6|목8
243,2015,1,1,2,화학생물학부,CB1101,자연계열교과필수,일반,화학및실험1,3,오진호,화6|화7|목1|금4
244,2015,1,1,3,화학생물학부,CB1101,자연계열교과필수,일반,화학및실험1,3,한상준,월4|수2|수3|금1
245,2015,1,1,4,화학생물학부,CB1101,자연계열교과필수,일반,화학및실험1,3,천만석,화4|수1|목6|목7
246,2015,1,1,5,화학생물학부,CB1101,자연계열교과필수,일반,화학및실험1,3,천만석,화3|수4|금2|금3
247,2015,1,1,6,화학생물학부,CB1101,자연계열교과필수,일반,화학및실험1,3,김원전,월6|월7|화1|금6
248,2015,1,1,7,화학생물학부,CB1101,자연계열교과필수,일반,화학및실험1,3,김원전,월1|수7|수8|목4
249,2015,1,1,8,화학생물학부,CB1101,자연계열교과필수,일반,화학및실험1,3,최은영,화2|목2|목3|금7
250,2015,1,1,1,화학생물학부,CB1103,자연계열교과필수,일반,화학및실험Ⅰ,5,Naresh Tarte,월6|화1|화2|수4|목3
251,2015,1,3,1,수리정보과학부,MC3108,자연계열교과선택,일반,확률및통계,3,박윤주,화3|수8|목2
252,2015,1,3,2,수리정보과학부,MC3108,자연계열교과선택,일반,확률및통계,3,박윤주,월6|화2|금2
253,2015,1,3,3,수리정보과학부,MC3108,자연계열교과선택,일반,확률및통계,3,정명주,월1|화8|목4
